order_id,customer_name,order_date,product,category,quantity,price,region
1001,Ravi,10-9-2022,iPhone 13,Books,2,524.1,North
1002,Meena,3-9-2023,Samsung A52,Printers,1,156.61,South
1003,Manoj,1/28/2022,HP Printer,Printers,5,477.79,West
1004,Manoj,10-12-2022,Mi Band,Printers,1,1541.73,South
1005,Sneha,6-9-2022,Canon DSLR,Laptops,2,1918.7,East
1006,Ravi,4-10-2022,Samsung A52,Wearables,3,1710.24,East
1007,Asha,5-8-2022,Mi Band,Printers,4,249.72,East
1008,Vikram,7/16/2022,Canon DSLR,Printers,1,187.07,South
1009,Priya,4/14/2022,Samsung A52,Accessories,4,628.15,East
1010,Divya,8-3-2022,Canon DSLR,Laptops,3,1433.46,North
1011,Vikram,9-8-2022,AirPods Pro,Printers,2,978.29,East
1012,Meena,11/29/2022,Dell Laptop,Books,1,535.19,North
1013,Karthik,3-9-2022,MacBook Air,Laptops,2,1834.96,East
1014,Manoj,10/21/2023,Mi Band,Wearables,4,371.46,South
1015,Manoj,9/27/2022,HP Printer,Printers,5,914.02,West
1016,Karthik,6-6-2023,Dell Laptop,Accessories,4,272.73,North
1017,Ravi,6/13/2022,AirPods Pro,Books,4,1233.18,West
1018,Sneha,6/26/2023,Kindle,Wearables,3,1945.05,North
1019,Ravi,10/19/2023,HP Printer,Laptops,3,311.95,West
1020,Divya,9/27/2022,Mi Band,Phones,5,1547.73,North
1021,Priya,7/23/2022,HP Printer,Printers,2,810.44,South
1022,Meena,9-6-2023,HP Printer,Phones,3,1028.35,North
1023,Karthik,3-1-2022,Sony Headphones,Accessories,2,1768.22,North
1024,Ravi,6/30/2023,Mi Band,Phones,2,343.94,West
1025,Meena,6/25/2023,AirPods Pro,Laptops,5,903.96,South
1026,Meena,11/16/2022,Dell Laptop,Books,4,1990.78,East
1027,Rahul,5-4-2022,HP Printer,Wearables,2,526.92,East
1028,Asha,8/24/2022,Kindle,Printers,5,518.41,North
1029,Asha,2-2-2022,Dell Laptop,Phones,3,234.63,South
1030,Priya,7-7-2023,Mi Band,Accessories,2,1474.37,West
1031,Manoj,7/14/2022,Mi Band,Wearables,1,284.17,West
1032,Karthik,4/24/2023,MacBook Air,Wearables,1,1379.39,North
1033,Asha,12/14/2022,MacBook Air,Books,1,572.45,South
1034,Meena,3-9-2023,Mi Band,Accessories,2,629.24,South
1035,Ravi,4-11-2022,Mi Band,Printers,1,1339.08,North
1036,Ravi,2/21/2023,Dell Laptop,Accessories,4,1014.58,West
1037,Asha,1-3-2022,AirPods Pro,Wearables,4,603.89,West
1038,Priya,7/24/2023,MacBook Air,Books,4,394.11,East
1039,Manoj,7-10-2023,iPhone 13,Printers,1,1521.15,North
1040,Asha,5/30/2023,Kindle,Wearables,5,399.12,North
1041,Divya,3-11-2022,Samsung A52,Printers,2,867.17,South
1042,Vikram,9/27/2023,Kindle,Phones,1,896.53,East
1043,Priya,11/18/2022,Dell Laptop,Books,2,604.67,South
1044,Priya,3/16/2022,Mi Band,Laptops,1,970.74,North
1045,Ravi,6-3-2023,HP Printer,Accessories,3,351.67,East
1046,Ravi,10/19/2022,Dell Laptop,Laptops,2,932.55,East
1047,Vikram,11/15/2023,HP Printer,Phones,5,668.82,North
1048,Divya,4/20/2022,Sony Headphones,Phones,5,395.35,East
1049,Vikram,12/18/2022,Dell Laptop,Books,2,1406.24,East
1050,Meena,2/22/2022,Mi Band,Laptops,1,1305.14,East
1051,Asha,5/14/2022,iPhone 13,Laptops,3,407.01,West
1052,Meena,1-10-2022,MacBook Air,Printers,1,242.96,South
1053,Meena,8/20/2023,iPhone 13,Laptops,5,381.38,South
1054,Asha,2-10-2022,Sony Headphones,Laptops,3,499.15,South
1055,Ravi,2/21/2023,Canon DSLR,Printers,5,1524.01,South
1056,Divya,1/26/2022,AirPods Pro,Wearables,2,1499.47,East
1057,Sneha,6/13/2022,Dell Laptop,Laptops,1,826.83,North
1058,Rahul,4/17/2023,Dell Laptop,Accessories,3,679.86,South
1059,Manoj,7/17/2022,iPhone 13,Books,4,723.7,North
1060,Priya,6-6-2023,Canon DSLR,Books,4,1391.08,East
1061,Asha,7-2-2022,Samsung A52,Laptops,5,1928.82,East
1062,Asha,3/21/2023,Samsung A52,Printers,3,1484.24,East
1063,Sneha,4/29/2022,Kindle,Printers,4,1809.06,South
1064,Priya,3/23/2023,iPhone 13,Books,1,1087.85,South
1065,Karthik,11-12-2023,MacBook Air,Phones,3,1284,North
1066,Priya,11/14/2023,HP Printer,Laptops,4,719.75,East
1067,Meena,3-7-2023,AirPods Pro,Accessories,4,1386.9,South
1068,Vikram,2/20/2023,Kindle,Laptops,5,1684.08,East
1069,Priya,8/17/2023,Dell Laptop,Wearables,5,1343.94,West
1070,Rahul,8-7-2022,Mi Band,Books,5,999.05,South
1071,Ravi,11-11-2023,Sony Headphones,Printers,5,736.86,South
1072,Priya,5/31/2022,Dell Laptop,Accessories,1,187.81,West
1073,Vikram,3-1-2023,Samsung A52,Wearables,5,469.43,West
1074,Rahul,6-1-2022,MacBook Air,Accessories,1,1796.05,North
1075,Sneha,12/14/2023,Dell Laptop,Accessories,5,982.64,South
1076,Ravi,4/21/2023,Mi Band,Accessories,5,1977,East
1077,Rahul,6-1-2023,Kindle,Books,4,1678.08,West
1078,Divya,9/23/2022,Mi Band,Wearables,2,1695.74,East
1079,Meena,9-2-2022,Mi Band,Books,3,935.76,East
1080,Manoj,11/24/2022,Sony Headphones,Laptops,5,253.1,South
1081,Manoj,6-6-2022,MacBook Air,Books,2,222.03,West
1082,Karthik,3-2-2023,HP Printer,Wearables,1,492.99,West
1083,Sneha,1/21/2022,Kindle,Books,5,822.72,North
1084,Karthik,3-6-2023,Sony Headphones,Wearables,5,1520.28,South
1085,Rahul,3/23/2023,Dell Laptop,Laptops,4,155.15,East
1086,Sneha,5-11-2022,AirPods Pro,Wearables,5,1114.83,West
1087,Vikram,1/28/2022,Kindle,Books,1,1321.22,South
1088,Rahul,9/24/2022,AirPods Pro,Phones,4,721.97,West
